Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
3187300236,"Mar 15, 2020, 10:14:39 PM",My favorite route,Run,,2657,11.44,,,FALSE,,,activities/3187300236.gpx,68,,2657,2654,11441.3,7.1,4.311,139.7,139.6,220.2,266.5,18.3,0,,,,,,,,,0,,,,,,,,,10,,,,,0,162,0,,1,11746.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3188681005,"Mar 16, 2020, 3:37:58 PM",Morning Run,Run,,2167,8.18,,,FALSE,,,activities/3188681005.gpx,68,,2167,2140,8188.7,5.4,3.826,13,12.9,218.5,224.3,5.8,0,,,,,,,,,0,,,,,,,,,,,,,,,,0,,1,8209.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3191505571,"Mar 17, 2020, 3:51:57 PM",Morning Run,Run,,2954,8.76,,,FALSE,,,activities/3191505571.gpx,68,,2954,2356,8767.7,8.4,3.721,73,72.5,239.9,256.6,8.6,0,,,,,,,,,0,,,,,,,,,,,,,,,,0,,1,8838.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3194879980,"Mar 18, 2020, 3:51:39 PM",Lake Lap,Run,,6443,21.22,,,FALSE,,,activities/3194879980.gpx,68,,6443,5903,21228.4,6.2,3.596,200.9,205.3,214.1,246,49,0,,,,,,,,,0,,,,,,,,,,,,,,,,0,,1,22257.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200932710,"Mar 20, 2020, 5:26:13 PM",Lunch Run,Run,,1635,6.7,,,FALSE,,,activities/3200932710.gpx,68,,1635,1635,6700.4,5.8,4.098,38.4,38.4,224.9,253.5,6.6,0,,,,,,,,,0,,,,,,,,,,,,,,,,0,,1,6744.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3201103959,"Mar 18, 2020, 5:39:49 PM",This is not accurate but it’s pretty funny so I’ll leave it here.,Run,,4317,14.78,,,FALSE,,,activities/3422256655.gpx.gz,68,,4317,129,14787.5,7.7,114.632,52.5,14.3,211.3,262.5,3.2,0.3,,,,,,,,,0,,,,,,,,,,,,,,0,,0,,1,14900.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3201615645,"Mar 20, 2020, 10:03:59 PM",Afternoon Run,Run,,2203,7.23,,,FALSE,,HOKA Arahi 4,activities/3201615645.gpx,68,,2203,1950,7234.6,5.3,3.71,31.8,37,226,252.5,6.6,-0.1,,,,,,,,,607,,,,,,,,,,,,,,,,0,,1,7263.8,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3203957160,"Mar 21, 2020, 3:45:31 PM",Morning Run,Run,,2680,11.5,,,FALSE,,HOKA Arahi 4,activities/3203957160.gpx,68,,2680,2657,11502.6,6.3,4.329,38.7,38.1,220.2,245,9.5,0,,,,,,,,,966,,,,,,,,,,,,,,,,0,,1,11556.7,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3210645737,"Mar 23, 2020, 5:19:47 PM",Nice easy run,Run,,2119,8.1,,,FALSE,,HOKA Arahi 4,activities/3210645737.gpx,68,,2119,2062,8100.6,6,3.929,44.9,50.9,234.7,253.5,10.1,-0.1,,,,,,,,,681,,,,,,,,,,,,,,,,0,,1,8142.5,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3217402874,"Mar 25, 2020, 5:15:38 PM",Lunch Run,Run,,2621,9.31,,,FALSE,,HOKA Arahi 4,activities/3217402874.gpx,68,,2621,2479,9309.5,5.9,3.755,39.1,38.7,220,231.2,11,0,,,,,,,,,782,,,,,,,,,,,,,,,,0,,1,9355.6,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3221997496,"Mar 26, 2020, 10:22:34 PM",Afternoon Run,Run,,2258,9.44,,,FALSE,,HOKA Arahi 4,activities/3221997496.gpx,68,,2258,2255,9443,6.4,4.188,73.2,73.2,236,268.6,8.9,0,,,,,,,,,797,,,,,,,,,,,,,,,,0,,1,9536.3,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3224070304,"Mar 27, 2020, 3:38:07 PM",Morning Run,Run,,2321,8.17,,,FALSE,,HOKA Arahi 4,activities/3224070304.gpx,68,,2321,2119,8172.6,5.4,3.857,38.1,41.9,239.1,261.9,43.8,0,,,,,,,,,696,,,,,,,,,,,,,,,,0,,1,8326.1,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3229617442,"Mar 28, 2020, 11:13:12 PM",Kayaking in the rain 🌨,Kayaking,,4388,4.96,,,FALSE,,,activities/3229617442.gpx,68,,4388,3499,4962.6,3.1,1.418,4.1,3.7,216.9,221,17.9,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/4A8414C3-0A50-4F8A-BD00-99FA5FB1B712.jpg|media/D008CCDE-F23A-4B74-B0CF-42A3BD9C4E48.jpg
3232073591,"Mar 29, 2020, 3:28:19 PM",Morning Run,Run,,3430,14.5,,,FALSE,,HOKA Arahi 4,activities/3232073591.gpx,68,,3430,3404,14506.7,5.9,4.262,37.2,37.2,254.5,267,6.1,0,,,,,,,,,1216,,,,,,,,,,,,,,0,,0,,1,14541.3,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3235418303,"Mar 30, 2020, 4:39:25 PM",Lunch Run,Run,,2046,7.74,,,FALSE,,HOKA Arahi 4,activities/3235418303.gpx,68,,2046,2046,7741.9,5.2,3.784,38.7,37.9,236,255.6,8.8,0,,,,,,,,,652,,,,,,,,,,,,,,0,,0,,1,7793.3,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239364227,"Mar 31, 2020, 5:40:57 PM",Warm up ,Run,,508,1.77,,,FALSE,,HOKA Arahi 4,activities/3239364227.gpx,68,,508,508,1772.8,5,3.49,,0.1,219.3,220.7,2.9,0,,,,,,,,,149,,,,,,,,,,,,,,,,0,,1,1777.2,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239438868,"Mar 31, 2020, 5:53:40 PM",Segment Hunting,Run,,575,2.82,,,FALSE,,HOKA Arahi 4,activities/3239438868.gpx,68,,575,561,2820.5,6.5,5.028,2.4,3.3,219.3,222.2,4.2,0,,,,,,,,,236,,,,,,,,,,,,,,,,0,,1,2824.7,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239647420,"Mar 31, 2020, 6:08:55 PM","5x5min, 2x3min, 45sec sprint. 1min rest between all.",Run,,2469,8.81,,,FALSE,,HOKA Arahi 4,activities/3239647420.gpx,68,,2469,1906,8817.1,7.2,4.626,28.6,29.9,219.3,230.3,12.7,0,,,,,,,,,742,,,,,,,,,,,,,,,,0,,1,8879.1,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3242872129,"Apr 1, 2020, 3:50:55 PM",Easy easy,Run,,3263,11.77,,,FALSE,,HOKA Arahi 4,activities/3242872129.gpx,68,,3263,3260,11775.5,5.8,3.612,22.7,22.6,219.3,226.5,5.1,0,,,,,,,,,986,,,,,,,,,1,,,,,0,7,0,,1,11798.8,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3243869291,"Apr 1, 2020, 6:42:51 PM",Gravel Travel,Ride,Tony and I did some exploring around the farmlands and up to the coralville reservoir.,7833,35.26,,,FALSE,,,activities/3243869291.gpx,68,,7833,6721,35268.3,12.9,5.247,426.3,404.5,210.5,264.9,17.2,0.1,,,,,,,,97,724,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3247372154,"Apr 2, 2020, 6:08:06 PM",Afternoon Run,Run,,2927,6.22,,,FALSE,,HOKA Arahi 4,activities/3247372154.gpx,68,,2927,1731,6220.6,9.4,3.594,26.6,26.8,215,221.6,40,0,,,,,,,,,527,,,,,,,,,,,,,,,,0,,1,6303.8,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3250926595,"Apr 3, 2020, 5:37:24 PM",Easy Ely,Run,We found Bryson halfway into our run,2737,9.11,,,FALSE,,HOKA Arahi 4,activities/3250926595.gpx,68,,2737,2647,9111.1,7.3,3.442,104.7,104.8,220.7,257.8,12.7,0,,,,,,,,,778,,,,,,,,,,,,,,,,0,,1,9305.9,,,,,,,,,,,,,,,,5775110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
