Activity Date,Activity Type,Moving Time,weekday,month,year,day_of_year,Moving Time_normalized
2025-03-24 21:08:56,Ride,3355,0,3,2025,83,0.21047022459156778
2025-03-24 00:06:37,Run,2130,0,3,2025,83,-0.35890676945612915
2025-03-22 12:16:08,Run,603,5,3,2025,81,-1.0686526224445643
2025-03-22 11:48:01,Ride,1226,5,3,2025,81,-0.7790837511860214
2025-03-21 22:45:13,Run,2346,4,3,2025,80,-0.25851049948526994
2025-03-20 00:00:59,Swim,2486,3,3,2025,79,-0.193438843022676
2025-03-18 22:56:51,Run,1282,1,3,2025,77,-0.7530550886009838
2025-03-18 21:41:51,Ride,3487,1,3,2025,77,0.2718235006848706
2025-03-17 21:11:30,Ride,1230,0,3,2025,76,-0.7772245610013758
2025-03-15 21:11:18,Run,4168,5,3,2025,74,0.588350629620774
2025-03-14 21:54:18,Run,2130,4,3,2025,73,-0.35890676945612915
2025-03-13 15:00:05,Ride,2730,3,3,2025,72,-0.08002824175929799
2025-03-11 16:47:54,Hike,20503,1,3,2025,70,8.180818546167002
2025-03-09 21:33:11,Hike,1146,6,3,2025,68,-0.8162675548789322
2025-03-08 20:20:48,Swim,156,5,3,2025,67,-1.2764171255787036
2025-03-05 22:29:14,Workout,4249,2,3,2025,64,0.6259992308598462
2025-03-05 16:54:56,Swim,1018,2,3,2025,64,-0.8757616407875894
2025-03-04 15:05:00,Swim,1380,1,3,2025,63,-0.707504929077168
2025-03-03 23:00:57,Run,3361,0,3,2025,62,0.21325900986853608
2025-03-02 23:31:04,Run,3009,6,3,2025,61,0.049650273619728486
2025-03-02 19:29:07,Workout,6285,6,3,2025,61,1.5723270348444265
2025-02-28 22:24:06,Run,1268,4,2,2025,59,-0.7595622542472432
2025-02-28 17:06:11,Swim,713,4,2,2025,59,-1.017524892366812
2025-02-27 19:17:47,Swim,1506,3,2,2025,58,-0.6489404382608335
2025-02-26 21:29:12,Run,1851,2,2,2025,57,-0.4885852848351556
2025-02-25 20:50:17,Ride,4801,1,2,2025,56,0.8825674763409308
2025-02-24 22:16:28,Run,1876,0,2,2025,55,-0.47696534618112096
2025-02-24 20:50:45,Ride,4292,0,2,2025,55,0.6459855253447857
2025-02-23 19:53:57,Run,4781,6,2,2025,54,0.8732715254177031
2025-02-22 20:13:41,Hike,5594,5,2,2025,53,1.2511519304469092
2025-02-21 22:24:19,Workout,6203,4,2,2025,52,1.534213636059193
2025-02-20 22:45:50,Run,3227,3,2,2025,51,0.15097613868291046
2025-02-19 19:37:24,Swim,1442,2,2,2025,50,-0.6786874812151622
2025-02-18 23:53:06,Run,1500,1,2,2025,49,-0.6517292235378018
2025-02-18 22:36:48,Ride,4364,1,2,2025,49,0.6794509486684055
2025-02-14 21:41:49,Ride,2760,4,2,2025,45,-0.06608431537445643
2025-02-14 00:13:24,Run,1688,4,2,2025,45,-0.5643472848594614
2025-02-10 21:35:49,Run,3161,0,2,2025,41,0.12029950063625904
2025-02-09 21:10:19,Run,4011,6,2,2025,40,0.5153774148734365
2025-02-07 20:41:37,Workout,2881,4,2,2025,38,-0.009843812288928822
2025-02-07 17:02:42,Swim,1240,4,2,2025,38,-0.7725765855397619
2025-02-06 23:05:50,Run,2804,3,2,2025,37,-0.045633223343355483
2025-02-06 20:47:10,Workout,1908,3,2,2025,37,-0.46209182470395666
2025-02-06 19:55:27,Workout,2396,3,2,2025,37,-0.23527062217720066
2025-02-05 22:05:36,Run,1253,2,2,2025,36,-0.766534217439664
